category,subject,rank,brand_id,brand_name,order_total
rank_amount,EN,1,3553,대치동시크릿,21266500
rank_amount,EN,2,987,부교재나라,15051080
rank_amount,EN,3,270,변형문제스토어,6122190
rank_amount,EN,4,4578,이현우 대치메타,3660120
rank_amount,EN,5,1012,메이플북스,3377105
rank_amount,EN,6,955,이클라우드,3130260
rank_amount,EN,7,115119,한양클래스,2542050
rank_amount,EN,8,9318,시드 잉글리쉬,2195640
rank_amount,EN,9,12672,시에나영어연구소,2134600
rank_amount,EN,10,926,와츄노,2114969
rank_amount,EN,11,5508,노유기,2039600
rank_amount,EN,12,15922,이것영어,1852340
rank_amount,EN,13,924,하박영어,1586280
rank_amount,EN,14,79529,이쌤문제은행,1543975
rank_amount,EN,15,1429,최상위 영어,1492360
rank_amount,EN,16,1196,수능영어크루,1325340
rank_amount,EN,17,2248,조이너스,1286350
rank_amount,EN,18,77318,에셋 영어,1196090
rank_amount,EN,19,210,단지,956220
rank_amount,EN,20,71115,김신조,883950
rank_amount,EN,21,107842,지영랩,881040
rank_amount,EN,22,1143,투하트 영어카페,846120
rank_amount,EN,23,26393,아스트룸,816250
rank_amount,EN,24,1026,탑앤탑 Gram맘,676210
rank_amount,EN,25,298,지이다영어교실,667000
rank_amount,EN,26,71208,문제야,658400
rank_amount,EN,27,27636,패스파인더,624350
rank_amount,EN,28,16172,유별난!,623750
rank_amount,EN,29,117658,블루코어,618150
rank_amount,EN,30,17867,펜슬잉글리쉬,605480
rank_amount,KO,1,131864,소담국어,1586130
rank_amount,KO,2,85652,맥국어연구소,1561490
rank_amount,KO,3,15681,써머썬 연구소,1308430
rank_amount,KO,4,78522,든든한 국어,1204450
rank_amount,KO,5,132780,자유로국어,1139610
rank_amount,KO,6,169329,한백 국어,968780
rank_amount,KO,7,131883,아침가지 국어,769250
rank_amount,KO,8,26726,슬기로운 국어,710200
rank_amount,KO,9,124954,희연,696000
rank_amount,KO,10,25277,현존재쌤,621820
rank_amount,KO,11,47014,장박사 국어,587100
rank_amount,KO,12,4673,국지평,412410
rank_amount,KO,13,116609,장미국어,387200
rank_amount,KO,14,182299,국어를 찾는 사람들,377260
rank_amount,KO,15,82348,두루정쌤,331500
rank_amount,KO,16,26741,달콤한 국어,316930
rank_amount,KO,17,78020,사계샘,314250
rank_amount,KO,18,73858,상상초월,274500
rank_amount,KO,19,28086,공부천재 김선생,251500
rank_amount,KO,20,27206,이다국어,212300
rank_amount,KO,21,59433,국어의 감각,196170
rank_amount,KO,22,80973,기본이 강한 국어,182550
rank_amount,KO,23,28593,위너키,142750
rank_amount,KO,24,30135,웅샘,119280
rank_amount,KO,25,139106,옹달샘 국어,113780
rank_amount,KO,26,77762,솔빛국어연구소,104800
rank_amount,KO,27,76405,설 국어,100000
rank_amount,KO,28,125333,큰길국어,84000
rank_amount,KO,29,54182,더함,75930
rank_amount,KO,30,27074,국어방정식,73300
