category,subject,rank,brand_id,brand_name,previous_sales,recent_sales,wow_growth_rate
rank_growth,EN,1,98907,입시영어 석쌤,11,62,463.64
rank_growth,EN,2,9870,스푼 잉글리쉬,2,10,400.00
rank_growth,EN,3,3825,적중의 중심,1,4,300.00
rank_growth,EN,4,5956,김용환영어연구소,4,13,225.00
rank_growth,EN,5,14340,대치 플레온,32,93,190.63
rank_growth,EN,6,19657,나우원 영어교실,7,20,185.71
rank_growth,EN,7,10531,박이티,2,5,150.00
rank_growth,EN,8,14805,모조영어,19,47,147.37
rank_growth,EN,9,115119,한양클래스,250,561,124.40
rank_growth,EN,10,83581,히즈북스,10,22,120.00
rank_growth,EN,11,3889,J 영어랩,5,11,120.00
rank_growth,EN,12,24125,일타영어,6,12,100.00
rank_growth,EN,13,954,썬킴쌤 [최강 직독직해],2,4,100.00
rank_growth,EN,14,11776,단어공작소,2,4,100.00
rank_growth,EN,15,131761,이앤에듀,1,2,100.00
rank_growth,EN,16,77318,에셋 영어,105,197,87.62
rank_growth,EN,17,219,고미조슈아,69,127,84.06
rank_growth,EN,18,15681,써머썬 연구소,25,45,80.00
rank_growth,EN,19,32000,메가T 이정민,33,58,75.76
rank_growth,EN,20,2248,조이너스,118,207,75.42
rank_growth,EN,21,148071,끝내기 영어,15,26,73.33
rank_growth,EN,22,7414,올인올영어,59,102,72.88
rank_growth,EN,23,107842,지영랩,69,119,72.46
rank_growth,EN,24,41304,소담동 영어 홍쌤,7,12,71.43
rank_growth,EN,25,210,단지,98,166,69.39
rank_growth,EN,26,32219,에이펙스,70,114,62.86
rank_growth,EN,27,12281,퀴니퀴니,20,31,55.00
rank_growth,EN,28,18858,라이언북스,20,30,50.00
rank_growth,EN,29,2653,압도적 EML워크북,6,9,50.00
rank_growth,EN,30,6728,쉘리영어,2,3,50.00
rank_growth,KO,1,73858,상상초월,7,40,471.43
rank_growth,KO,2,28593,위너키,4,21,425.00
rank_growth,KO,3,78020,사계샘,26,85,226.92
rank_growth,KO,4,26796,청어람,9,27,200.00
rank_growth,KO,5,59433,국어의 감각,8,21,162.50
rank_growth,KO,6,78707,장유영,2,5,150.00
rank_growth,KO,7,29971,송샘,2,5,150.00
rank_growth,KO,8,4673,국지평,42,90,114.29
rank_growth,KO,9,131883,아침가지 국어,35,75,114.29
rank_growth,KO,10,26726,슬기로운 국어,85,175,105.88
rank_growth,KO,11,26741,달콤한 국어,62,119,91.94
rank_growth,KO,12,100088,국어는 정교하게,10,19,90.00
rank_growth,KO,13,82348,두루정쌤,33,62,87.88
rank_growth,KO,14,85652,맥국어연구소,180,330,83.33
rank_growth,KO,15,30135,웅샘,12,22,83.33
rank_growth,KO,16,132780,자유로국어,195,351,80.00
rank_growth,KO,17,124954,희연,76,129,69.74
rank_growth,KO,18,78522,든든한 국어,182,297,63.19
rank_growth,KO,19,80973,기본이 강한 국어,31,50,61.29
rank_growth,KO,20,15681,써머썬 연구소,208,334,60.58
rank_growth,KO,21,131864,소담국어,263,420,59.70
rank_growth,KO,22,28086,공부천재 김선생,38,60,57.89
rank_growth,KO,23,27206,이다국어,22,32,45.45
rank_growth,KO,24,54182,더함,14,20,42.86
rank_growth,KO,25,79488,도파민 국어,3,4,33.33
rank_growth,KO,26,169329,한백 국어,97,129,32.99
rank_growth,KO,27,25613,시나브로2951,19,25,31.58
rank_growth,KO,28,116609,장미국어,82,102,24.39
rank_growth,KO,29,182299,국어를 찾는 사람들,79,92,16.46
rank_growth,KO,30,47014,장박사 국어,70,80,14.29
